R{"p_coumaric_acid_produced"}=? [ I=T ]:
T	Result
28800	105.61
32400	118.3
36000	131.75
39600	145.27
43200	158.58
46800	171.66
50400	185.04
54000	198.21
57600	211.39
61200	223.99
64800	237.13
68400	250.1
72000	263.59
75600	277.38
79200	289.9
82800	303.56
86400	317.07
90000	330.73
93600	344.51
97200	357.4
100800	370.58
104400	383.49
108000	396.35
111600	409.42
115200	422.73
118800	435.97
122400	448.83
126000	462.06
129600	474.3
133200	487.98
136800	501.54
140400	514.25
144000	527.44
147600	540.79
151200	554.19
154800	567.65
158400	581.02
162000	594.62
165600	608.45
169200	621.99
172800	635.15
