"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.02
7200, 1.0
10800, 1.16
14400, 0.95
18000, 0.89
21600, 0.85
25200, 1.15
28800, 0.9
32400, 0.98
36000, 1.03
39600, 0.85
43200, 1.09
46800, 0.76
50400, 1.24
54000, 1.05
57600, 0.95
61200, 0.96
64800, 0.94
68400, 1.06
72000, 0.9
75600, 0.95
79200, 0.87
82800, 0.84
86400, 0.81
90000, 0.96
93600, 0.81
97200, 0.95
100800, 0.88
104400, 0.83
108000, 1.06
111600, 0.96
115200, 1.03
118800, 0.92
122400, 0.89
126000, 1.17
129600, 0.92
133200, 0.92
136800, 0.93
140400, 0.91
144000, 0.9
147600, 1.06
151200, 0.99
154800, 1.03
158400, 1.13
162000, 0.89
165600, 1.01
169200, 0.87
172800, 0.87

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 8.5
7200, 9.24
10800, 9.54
14400, 9.85
18000, 9.78
21600, 9.42
25200, 9.31
28800, 9.38
32400, 10.02
36000, 9.1
39600, 9.39
43200, 9.26
46800, 9.87
50400, 9.18
54000, 9.27
57600, 9.08
61200, 9.36
64800, 9.01
68400, 9.48
72000, 9.96
75600, 9.44
79200, 9.28
82800, 9.74
86400, 9.51
90000, 9.22
93600, 9.25
97200, 9.38
100800, 9.51
104400, 9.66
108000, 9.27
111600, 8.98
115200, 9.2
118800, 9.01
122400, 8.87
126000, 9.08
129600, 9.29
133200, 9.29
136800, 9.22
140400, 8.99
144000, 9.54
147600, 9.46
151200, 9.13
154800, 9.6
158400, 9.84
162000, 8.95
165600, 9.27
169200, 9.08
172800, 9.8

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.01
18000, 0.06
21600, 0.03
25200, 0.05
28800, 0.04
32400, 0.01
36000, 0.02
39600, 0.01
43200, 0.03
46800, 0.03
50400, 0.02
54000, 0.01
57600, 0.05
61200, 0.02
64800, 0.0
68400, 0.04
72000, 0.03
75600, 0.01
79200, 0.03
82800, 0.0
86400, 0.03
90000, 0.03
93600, 0.0
97200, 0.0
100800, 0.01
104400, 0.0
108000, 0.02
111600, 0.04
115200, 0.0
118800, 0.0
122400, 0.02
126000, 0.01
129600, 0.0
133200, 0.01
136800, 0.01
140400, 0.0
144000, 0.0
147600, 0.04
151200, 0.03
154800, 0.02
158400, 0.02
162000, 0.02
165600, 0.02
169200, 0.01
172800, 0.01

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.55
7200, 0.59
10800, 0.66
14400, 0.61
18000, 0.5
21600, 0.64
25200, 0.56
28800, 0.39
32400, 0.44
36000, 0.58
39600, 0.56
43200, 0.51
46800, 0.38
50400, 0.48
54000, 0.53
57600, 0.55
61200, 0.54
64800, 0.43
68400, 0.38
72000, 0.43
75600, 0.51
79200, 0.57
82800, 0.51
86400, 0.76
90000, 0.56
93600, 0.63
97200, 0.58
100800, 0.62
104400, 0.51
108000, 0.55
111600, 0.62
115200, 0.48
118800, 0.33
122400, 0.42
126000, 0.55
129600, 0.59
133200, 0.56
136800, 0.48
140400, 0.48
144000, 0.58
147600, 0.53
151200, 0.6
154800, 0.44
158400, 0.45
162000, 0.47
165600, 0.51
169200, 0.65
172800, 0.48

"R{""caffeoyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.12
7200, 2.28
10800, 2.26
14400, 2.41
18000, 2.4
21600, 2.23
25200, 2.27
28800, 2.18
32400, 2.09
36000, 2.32
39600, 2.34
43200, 2.25
46800, 2.36
50400, 2.16
54000, 2.2
57600, 2.45
61200, 2.39
64800, 2.02
68400, 1.93
72000, 2.42
75600, 2.26
79200, 2.26
82800, 2.31
86400, 2.2
90000, 2.23
93600, 2.18
97200, 2.55
100800, 2.09
104400, 2.11
108000, 2.13
111600, 2.58
115200, 1.94
118800, 2.1
122400, 2.25
126000, 2.59
129600, 2.23
133200, 2.18
136800, 2.16
140400, 2.35
144000, 2.29
147600, 2.18
151200, 2.36
154800, 2.42
158400, 2.5
162000, 2.21
165600, 2.5
169200, 2.26
172800, 2.25

"R{""feruloyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4836.48
7200, 9686.95
10800, 14536.05
14400, 19375.28
18000, 24224.66
21600, 29065.68
25200, 33922.32
28800, 38766.27
32400, 43623.41
36000, 48474.36
39600, 53335.26
43200, 58182.93
46800, 63007.17
50400, 67863.81
54000, 72715.04
57600, 77566.81
61200, 82396.19
64800, 87232.61
68400, 92072.84
72000, 96922.51
75600, 101777.25
79200, 106618.34
82800, 111461.41
86400, 116306.24
90000, 121136.76
93600, 125973.35
97200, 130815.78
100800, 135647.79
104400, 140500.1
108000, 145340.03
111600, 150182.11
115200, 155017.39
118800, 159867.02
122400, 164713.61
126000, 169559.88
129600, 174381.72
133200, 179211.99
136800, 184055.71
140400, 188887.82
144000, 193739.21
147600, 198572.38
151200, 203412.0
154800, 208250.94
158400, 213105.55
162000, 217947.84
165600, 222791.68
169200, 227627.12
172800, 232460.0

"R{""feruloylacetyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.51
7200, 1.46
10800, 1.32
14400, 1.22
18000, 1.25
21600, 1.42
25200, 1.19
28800, 1.31
32400, 1.18
36000, 1.2
39600, 1.22
43200, 1.42
46800, 1.18
50400, 1.16
54000, 1.28
57600, 1.21
61200, 1.25
64800, 1.37
68400, 1.1
72000, 1.78
75600, 1.44
79200, 1.37
82800, 1.36
86400, 1.06
90000, 1.05
93600, 1.4
97200, 1.3
100800, 1.24
104400, 1.47
108000, 1.29
