"R{""p_coumaric_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.26
7200, 1.3
10800, 1.61
14400, 1.23
18000, 1.31
21600, 1.31
25200, 1.32
28800, 1.36
32400, 1.34
36000, 1.25
39600, 1.28
43200, 1.4
46800, 1.15
50400, 1.42
54000, 1.35
57600, 1.36
61200, 1.16
64800, 1.17
68400, 1.34
72000, 1.36
75600, 1.12
79200, 1.27
82800, 1.24
86400, 1.3
90000, 1.31
93600, 1.13
97200, 1.27
100800, 1.28
104400, 1.26
108000, 1.29
111600, 1.42
115200, 1.25
118800, 1.3
122400, 1.53
126000, 1.36
129600, 1.13
133200, 1.35
136800, 1.39
140400, 1.3
144000, 1.31
147600, 1.4
151200, 1.21
154800, 1.5
158400, 1.21
162000, 1.36
165600, 1.37
169200, 1.23
172800, 1.29

"R{""caffeic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4.39
7200, 4.18
10800, 4.59
14400, 4.54
18000, 4.56
21600, 4.36
25200, 4.18
28800, 4.26
32400, 4.46
36000, 4.03
39600, 4.42
43200, 4.42
46800, 4.52
50400, 4.59
54000, 4.12
57600, 4.41
61200, 4.25
64800, 4.26
68400, 4.17
72000, 4.36
75600, 4.04
79200, 4.41
82800, 4.17
86400, 4.57
90000, 4.49
93600, 4.28
97200, 4.12
100800, 4.69
104400, 4.36
108000, 4.61
111600, 4.96
115200, 4.25
118800, 4.14
122400, 4.51
126000, 4.8
129600, 4.45
133200, 4.18
136800, 4.36
140400, 4.5
144000, 4.18
147600, 4.48
151200, 4.73
154800, 4.48
158400, 4.24
162000, 4.68
165600, 4.37
169200, 4.32
172800, 4.38

"R{""ferulic_acid_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.01
43200, 0.02
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.01
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.01
90000, 0.02
93600, 0.0
97200, 0.0
100800, 0.01
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.01
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.01
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.01
165600, 0.0
169200, 0.01
172800, 0.01

"R{""p_coumaroyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 2.13
7200, 2.17
10800, 2.05
14400, 2.16
18000, 2.22
21600, 1.9
25200, 1.84
28800, 1.98
32400, 1.87
36000, 2.03
39600, 1.96
43200, 1.86
46800, 1.96
50400, 1.91
54000, 2.04
57600, 1.96
61200, 1.93
64800, 1.99
68400, 2.0
72000, 2.21
75600, 1.93
79200, 1.98
82800, 1.89
86400, 1.94
90000, 2.01
93600, 1.81
97200, 2.13
100800, 1.97
104400, 1.88
108000, 2.13
111600, 2.03
115200, 1.69
118800, 1.92
122400, 1.79
126000, 1.88
129600, 2.04
133200, 2.02
136800, 1.98
140400, 2.07
144000, 2.15
147600, 2.02
151200, 2.23
154800, 1.99
158400, 1.74
162000, 2.1
165600, 2.09
169200, 2.04
172800, 2.14

"R{""caffeoyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 4.58
7200, 4.66
10800, 4.38
14400, 4.18
18000, 4.94
21600, 4.81
25200, 4.75
28800, 4.57
32400, 4.71
36000, 4.53
39600, 4.67
43200, 4.26
46800, 4.53
50400, 4.84
54000, 4.75
57600, 4.27
61200, 4.67
64800, 4.82
68400, 4.6
72000, 4.62
75600, 5.38
79200, 4.68
82800, 4.96
86400, 4.74
90000, 4.86
93600, 4.73
97200, 4.72
100800, 4.94
104400, 4.45
108000, 4.59
111600, 4.93
115200, 4.6
118800, 4.57
122400, 4.26
126000, 4.54
129600, 4.8
133200, 4.49
136800, 4.74
140400, 4.71
144000, 4.85
147600, 4.76
151200, 4.3
154800, 4.67
158400, 5.05
162000, 4.74
165600, 4.55
169200, 4.68
172800, 5.04

"R{""feruloyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 9739.23
7200, 19527.12
10800, 29287.75
14400, 39071.61
18000, 48843.37
21600, 58616.58
25200, 68389.5
28800, 78168.51
32400, 87937.19
36000, 97695.72
39600, 107448.56
43200, 117229.63
46800, 127002.49
50400, 136762.78
54000, 146526.32
57600, 156290.13
61200, 166054.29
64800, 175817.02
68400, 185581.69
72000, 195365.83
75600, 205132.15
79200, 214908.7
82800, 224670.89
86400, 234431.55
90000, 244182.4
93600, 253941.17
97200, 263716.71
100800, 273481.04
104400, 283251.79
108000, 293016.02
111600, 302782.88
115200, 312554.06
118800, 322343.29
122400, 332127.73
126000, 341890.26
129600, 351653.22
133200, 361417.57
136800, 371192.24
140400, 380971.45
144000, 390724.27
147600, 400504.42
151200, 410273.02
154800, 420036.42
158400, 429817.58
162000, 439578.12
165600, 449342.53
169200, 459109.41
172800, 468870.91

"R{""feruloylacetyl_CoA_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 1.18
7200, 1.48
10800, 1.39
14400, 1.15
18000, 1.14
21600, 1.35
25200, 1.39
28800, 1.21
32400, 1.33
36000, 1.31
39600, 1.27
43200, 1.45
46800, 1.17
50400, 1.47
54000, 1.4
57600, 0.98
61200, 1.21
64800, 1.18
68400, 1.33
72000, 1.34
75600, 1.22
79200, 1.34
82800, 1.17
86400, 1.29
90000, 1.09
93600, 0.97
97200, 0.99
100800, 1.07
104400, 0.9
108000, 1.03
111600, 1.48
115200, 1.28
118800, 1.46
122400, 1.23
126000, 1.35
129600, 1.55
133200, 1.48
136800, 1.25
140400, 1.04
144000, 1.69
147600, 1.24
151200, 1.71
154800, 1.17
158400, 1.24
162000, 1.07
165600, 1.05
169200, 1.44
172800, 1.07

"R{""demethoxy_or_bisdemethoxy_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.0
172800, 0.0

"R{""demethoxy_or_curcumin_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 0.0
7200, 0.0
10800, 0.0
14400, 0.0
18000, 0.0
21600, 0.0
25200, 0.0
28800, 0.0
32400, 0.0
36000, 0.0
39600, 0.0
43200, 0.0
46800, 0.0
50400, 0.0
54000, 0.0
57600, 0.0
61200, 0.0
64800, 0.0
68400, 0.0
72000, 0.0
75600, 0.0
79200, 0.0
82800, 0.0
86400, 0.0
90000, 0.0
93600, 0.0
97200, 0.0
100800, 0.0
104400, 0.0
108000, 0.0
111600, 0.0
115200, 0.0
118800, 0.0
122400, 0.0
126000, 0.0
129600, 0.0
133200, 0.0
136800, 0.0
140400, 0.0
144000, 0.0
147600, 0.0
151200, 0.0
154800, 0.0
158400, 0.0
162000, 0.0
165600, 0.0
169200, 0.0
172800, 0.0

"R{""curcumin_produced""}=? [ I=T ]"
T, Result
0, 0.0
3600, 41.08
7200, 83.12
10800, 123.97
14400, 166.88
18000, 209.21
21600, 251.71
25200, 294.37
28800, 337.47
32400, 380.76
36000, 422.35
39600, 465.99
43200, 507.92
46800, 549.53
50400, 591.59
54000, 634.05
